Timestamp,Connected,Signal,Latency,Download,Upload
2026-02-01T08:53:54.645Z,true,100,21,0,5
2026-02-01T08:54:02.648Z,true,100,30,0,5
2026-02-01T08:54:10.670Z,true,100,29,0,5
2026-02-01T08:54:18.609Z,true,100,16,0,5
2026-02-01T08:54:26.677Z,true,100,30,0,5
2026-02-01T08:54:35.052Z,true,100,38,0,5
2026-02-01T08:54:42.616Z,true,100,15,0,5
2026-02-01T08:54:50.647Z,true,80,16,0,5
2026-02-01T08:54:51.131Z,true,80,15,0,5
2026-02-01T08:54:58.614Z,true,100,14,0,5
2026-02-01T08:55:06.621Z,true,100,15,0,5
2026-02-01T08:55:14.635Z,true,95,18,0,5
2026-02-01T08:55:23.170Z,true,100,15,0,5
2026-02-01T08:55:30.664Z,true,100,30,0,5
2026-02-01T08:55:38.630Z,true,100,30,0,5
2026-02-01T08:55:46.609Z,true,100,15,0,5
2026-02-01T08:55:51.119Z,true,100,30,0,5
2026-02-01T08:55:54.636Z,true,100,14,0,5
2026-02-01T08:56:02.624Z,true,100,32,0,5
2026-02-01T08:56:10.622Z,true,100,32,0,5
2026-02-01T08:56:18.603Z,true,100,14,0,5
2026-02-01T08:56:26.616Z,true,100,27,0,5
2026-02-01T08:56:34.608Z,true,100,33,0,5
2026-02-01T08:56:42.661Z,true,100,30,0,5
2026-02-01T08:56:50.664Z,true,100,28,0,5
2026-02-01T08:56:51.136Z,true,100,13,0,5
2026-02-01T08:56:58.634Z,true,100,26,0,5
2026-02-01T08:57:06.615Z,true,95,14,0,5
2026-02-01T08:57:14.625Z,true,100,29,0,5
2026-02-01T08:57:22.661Z,true,100,32,0,5
2026-02-01T08:57:30.626Z,true,100,27,0,5
2026-02-01T08:57:38.663Z,true,100,39,0,5
2026-02-01T08:57:46.663Z,true,100,29,0,5
2026-02-01T08:57:51.200Z,true,100,26,0,5
2026-02-01T08:57:54.589Z,true,100,19,0,5
2026-02-01T08:58:02.613Z,true,100,28,0,5
2026-02-01T08:58:10.667Z,true,100,28,0,5
2026-02-01T08:58:18.609Z,true,100,17,0,5
2026-02-01T08:58:26.595Z,true,100,14,0,5
2026-02-01T08:58:34.647Z,true,100,18,0,5
2026-02-01T08:58:42.630Z,true,100,26,0,5
2026-02-01T08:58:50.614Z,true,100,14,0,5
2026-02-01T08:58:51.180Z,true,100,14,0,5
2026-02-01T08:58:58.649Z,true,100,27,0,5
2026-02-01T08:59:06.619Z,true,100,33,0,5
2026-02-01T08:59:14.634Z,true,70,14,0,5
2026-02-01T08:59:22.624Z,true,100,13,0,5
2026-02-01T08:59:30.648Z,true,100,30,0,5
2026-02-01T08:59:38.599Z,true,100,14,0,5
2026-02-01T08:59:46.677Z,true,65,34,0,5
2026-02-01T08:59:51.108Z,true,90,14,0,5
2026-02-01T08:59:54.606Z,true,90,16,0,5
2026-02-01T09:00:02.667Z,true,90,14,0,5
2026-02-01T09:00:10.644Z,true,90,15,0,5
2026-02-01T09:00:18.650Z,true,90,28,0,5
2026-02-01T09:00:26.663Z,true,95,32,0,5
2026-02-01T09:00:34.617Z,true,95,14,0,5
2026-02-01T09:00:42.610Z,true,95,15,0,5
2026-02-01T09:00:50.626Z,true,90,14,0,5
2026-02-01T09:00:51.109Z,true,90,14,0,5
2026-02-01T09:00:58.639Z,true,100,16,0,5
2026-02-01T09:01:06.617Z,true,90,17,0,5
2026-02-01T09:01:14.638Z,true,100,27,0,5
2026-02-01T09:01:22.661Z,true,100,14,0,5
2026-02-01T09:01:30.634Z,true,90,29,0,5
2026-02-01T09:01:38.636Z,true,95,14,0,5
2026-02-01T09:01:46.669Z,true,95,14,0,5
2026-02-01T09:01:51.122Z,true,100,14,0,5
2026-02-01T09:01:54.643Z,true,100,14,0,5
2026-02-01T09:02:02.616Z,true,100,14,0,5
2026-02-01T09:02:10.636Z,true,95,16,0,5
2026-02-01T09:02:18.632Z,true,100,16,0,5
2026-02-01T09:02:26.623Z,true,95,30,0,5
2026-02-01T09:02:34.623Z,true,100,15,0,5
2026-02-01T09:02:42.622Z,true,95,15,0,5
2026-02-01T09:02:50.638Z,true,95,14,0,5
2026-02-01T09:02:51.128Z,true,95,14,0,5
2026-02-01T09:02:58.575Z,true,100,17,0,5
2026-02-01T09:03:06.600Z,true,100,14,0,5
2026-02-01T09:03:14.619Z,true,100,14,0,5
2026-02-01T09:03:22.606Z,true,95,14,0,5
2026-02-01T09:03:30.620Z,true,100,15,0,5
2026-02-01T09:03:38.603Z,true,85,28,0,5
2026-02-01T09:03:46.622Z,true,85,15,0,5
2026-02-01T09:03:51.127Z,true,85,14,0,5
2026-02-01T09:03:54.645Z,true,80,14,0,5
2026-02-01T09:04:02.671Z,true,95,14,0,5
2026-02-01T09:04:10.622Z,true,95,14,0,5
2026-02-01T09:04:18.642Z,true,85,15,0,5
2026-02-01T09:04:26.927Z,true,95,201,0,5
2026-02-01T09:04:34.608Z,true,85,14,0,5
2026-02-01T09:04:42.615Z,true,100,14,0,5
2026-02-01T09:04:50.606Z,true,100,14,0,5
2026-02-01T09:04:51.166Z,true,100,16,0,5
2026-02-01T09:04:58.611Z,true,90,15,0,5
2026-02-01T09:05:06.615Z,true,95,19,0,5
2026-02-01T09:05:14.626Z,true,95,27,0,5
2026-02-01T09:05:22.677Z,true,95,14,0,5
2026-02-01T09:05:30.639Z,true,90,16,0,5
2026-02-01T09:05:38.663Z,true,90,26,0,5
2026-02-01T09:05:46.652Z,true,85,16,0,5
2026-02-01T09:05:51.126Z,true,85,14,0,5
2026-02-01T09:05:54.584Z,true,85,14,0,5
2026-02-01T09:06:02.642Z,true,85,14,0,5
2026-02-01T09:06:10.644Z,true,100,27,0,5
2026-02-01T09:06:18.606Z,true,100,14,0,5
2026-02-01T09:06:26.630Z,true,95,14,0,5
2026-02-01T09:06:34.637Z,true,100,14,0,5
2026-02-01T09:06:42.602Z,true,95,14,0,5
2026-02-01T09:06:50.749Z,true,95,26,0,5
2026-02-01T09:06:51.913Z,true,95,25,0,5
2026-02-01T09:06:58.627Z,true,75,14,0,5
2026-02-01T09:07:06.665Z,true,75,15,0,5
2026-02-01T09:07:14.634Z,true,100,15,0,5
2026-02-01T09:07:22.648Z,true,100,14,0,5
2026-02-01T09:07:30.607Z,true,100,17,0,5
2026-02-01T09:07:38.634Z,true,95,14,0,5
2026-02-01T09:07:46.591Z,true,100,14,0,5
2026-02-01T09:07:51.191Z,true,100,15,0,5
2026-02-01T09:07:54.563Z,true,100,14,0,5
2026-02-01T09:08:02.618Z,true,100,14,0,5
2026-02-01T09:08:10.614Z,true,100,14,0,5
2026-02-01T09:08:18.606Z,true,100,17,0,5
2026-02-01T09:08:26.634Z,true,100,16,0,5
2026-02-01T09:08:34.659Z,true,100,28,0,5
2026-02-01T09:08:42.649Z,true,100,27,0,5
2026-02-01T09:08:50.652Z,true,100,28,0,5
2026-02-01T09:08:51.141Z,true,100,14,0,5
2026-02-01T09:08:59.147Z,true,100,27,0,5
2026-02-01T09:09:06.621Z,true,100,26,0,5
2026-02-01T09:09:14.621Z,true,100,23,0,5
2026-02-01T09:09:22.590Z,true,100,14,0,5
2026-02-01T09:09:30.619Z,true,100,14,0,5
2026-02-01T09:09:38.595Z,true,100,15,0,5
2026-02-01T09:09:46.612Z,true,100,28,0,5
2026-02-01T09:09:51.111Z,true,95,27,0,5
